1,0,-160
2,0,-130
3,0,-100
4,0,-30
5,0,-15
6,0,0
7,0,50
8,0,70
9,0,88
10,0,160
11,-10,-170
12,-10,-140
13,-10,-120
14,-10,-90
15,-10,-30
16,-10,-15
17,-10,5
18,-10,60
19,-10,88
20,-10,170
21,10,-170
22,10,-140
23,10,-120
24,10,-100
25,10,-50
26,10,-30
27,10,60
28,10,88
29,10,145
30,10,160
31,-20,-160
32,-20,-130
33,-20,-100
34,-20,-30
35,-20,0
36,-20,55
37,-20,80
38,-20,105
39,20,-170
40,20,-145
41,21,-115
42,20,-55
43,20,-30
44,20,65
45,20,135
46,20,170
47,-30,-160
48,-30,-130
49,-30,-100
50,-30,-40
51,-30,-15
52,-30,10
53,-30,60
54,-30,88
55,30,-170
56,30,-150
57,30,-130
58,29,-65
59,30,-45
60,30,-25
61,30,145
62,30,170
63,-40,-160
64,-40,-130
65,-40,-100
66,-40,-50
67,-40,0
68,-40,50
69,-40,100
70,40,-160
71,40,-140
72,40,-65
73,40,-45
74,40,-25
75,40,150
76,40,170
77,-50,-150
78,-50,-90
79,-50,-30
80,-50,30
81,-50,88
82,-50,150
83,50,-160
84,50,-140
85,50,-45
86,50,-25
87,50,149
88,50,170
89,-60,-140
90,-60,-70
91,-60,0
92,-60,70
93,-60,140
94,60,-35
95,60,-15
96,-70,-160
97,-70,-40
98,70,0
99,80,-150
